meeting_id,item_id,item_description,item_body,Jan Devereux,Dennis J Carlone,Nadeem A Mazen,E Denise Simmons,Timothy J Toomey,Craig A Kelley,Leland Cheung,Marc C McGovern,David P Maher
1556,2090," That the City Manager is requested to produce a report explaining how many Cambridge residents are attending which charter schools and in what grades, as well as, if possible, the retention rate of those students, their MCAS performance, their demographic breakdowns, and their graduation rates.","WHEREAS:

|

The Education Reform Act of 1993 authorized the opening and operation of
independent charter schools throughout the Commonwealth of Massachusetts, and
there are currently three such charter schools in operation within Cambridge;
and  
  
---|---  
  
|  
  
WHEREAS:

|

The City must pay a per pupil tuition to each charter school attended by
Cambridge residents; and  
  
|  
  
WHEREAS:

|

In School Year 2014-15, the City of Cambridge paid $10,064,108 million for
charter school tuition, an average of $24,437 per student, and estimates it
will spend $11,196,549 million for School Year 2015-16; and  
  
|  
  
WHEREAS:

|

Currently there is no clear method for the City to evaluate its investments in
charter school education; and  
  
|  
  
WHEREAS:

|

Charter school enrollment declines between 9th and 12th grade are close to
twice the state average and Cambridge based charter schools are even worse,
with the Community Charter School of Cambridge losing on average 51.4% of 9th
graders in each cohort that entered the school over the past eight years, and
Prospect Hill Academy Charter School losing 23.25%, while Cambridge Rindge and
Latin School averaged a decline of only 7.43% of 9th graders; and  
  
|  
  
WHEREAS:

|

The citizens of Cambridge should be presented with timely and regular
evaluations of charter high schools within the City so that they might assess
this experiment in charter school education; now therefore be it  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to produce a report
explaining how many Cambridge residents are attending which charter schools
and in what grades, as well as, if possible, the retention rate of those
students, their MCAS performance, their demographic breakdowns, and their
graduation rates; and be it further  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to make this report part of
his annual budget submission to the City Council; and be it further  
  
|  
  
ORDERED:

|

That the matter of charter school funds, accountability, and attendance be the
subject of a joint School Committee and City Council special meeting.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1567,2774," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of the Emergency Solutions Grant (ESG) from the Office of the U.S. Department of Housing and Urban Development (HUD) in the amount of $226,064 to the Grant Fund Human Services Salary and Wages account ($16,954) and to the Grant Fund Human Services Other Ordinary Maintenance account ($209,110), to be used for shelter operating costs, providing essential services to homeless persons outside of the shelter setting, rapid re-housing, homelessness prevention case management, and rental assistance services.","I am hereby requesting the appropriation of the Emergency Solutions Grant
(ESG) from the Office of the U.S. Department of Housing and Urban Development
(HUD) in the amount of $226,064 to the Grant Fund Human Services Salary and
Wages account ($16,954) and to the Grant Fund Human Services Other Ordinary
Maintenance account ($209,110).

These City entitlement funds are authorized by the McKinney-Vento Homeless Act
as amended by the Homeless Emergency Assistance and Rapid Transition to
Housing (HEARTH) Act of 2009.

The funds will be used for shelter operating costs, providing essential
services to homeless persons outside of the shelter setting, rapid re-housing,
homelessness prevention case management, and rental assistance services.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1844,4627," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Low Income Heating Assistance Program grant in the amount of $14,040 funded by the Federal Department of Health and Human Services and administered in Massachusetts by the Commonwealth’s Department of Housing and Community Development to the Grant Fund Human Services Other Ordinary Maintenance account to provide funds to operate the Low Income Heating Assistance Program (LIHEAP) serving Cambridge and Somerville.","I am hereby requesting an additional appropriation of the Low Income Heating
Assistance Program grant in the amount of $14,040 funded by the Federal
Department of Health and Human Services and administered in Massachusetts by
the Commonwealth’s Department of Housing and Community Development to the
Grant Fund Human Services Other Ordinary Maintenance account. The grant has
increased from the previous award amount of $1,229,675.00 to a total funding
award amount of $1,243,715.00.

The Department of Human Service Programs operates the Low Income Heating
Assistance Program (LIHEAP) serving Cambridge and Somerville. Benefit levels
for this year range from $355 to $1,100.

",Yea,Yea,Yea,Absent,Yea,Yea,Absent,Yea,Yea
1561,2421," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $25,000 from Free Cash to the General Fund Public Works Extraordinary Expenditures account to purchase a new street sweeping machine.","I am hereby requesting the appropriation of $25,000 from Free Cash to the
General Fund Public Works Extraordinary Expenditures account to purchase a new
street sweeping machine.  

The street sweeper is estimated to cost $100,000. The City has received
favorable bids on equipment purchases this year and Public Works has an
estimated remaining balance of $75,000 in the budget resulting in a net
request of $25,000. The machine will be used to initiate a program to clean
the squares during off hours.

",Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1845,4263," Councillor Toomey filed Reconsideration of the vote taken at the City Council meeting of February 27, 2017 on Policy Order #7 stating that the City Council support the 10-citizen petition recently presented to the Cambridge Historical Commission, asking for a tiered designation system and other amendments to the Harvard Square Conservation District guidelines and possibly to its boundaries.","WHEREAS:

|  
  
---|---  
  
|  
  
WHEREAS:

|  
  
|  
  
WHEREAS:

|  
  
|  
  
ORDERED:

|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|

",Nay,Nay,Nay,Absent,Yea,Nay,Yea,Nay,Yea
1844,4561," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the State Executive Office of Public Safety, Department of Fire Services for $187,500 to the Grant Fund Fire Department Extraordinary Expenditures account  to support the Fire Department’s Hazardous Response Team.","I am hereby requesting the appropriation of a grant from the State Executive
Office of Public Safety, Department of Fire Services for $187,500 to the Grant
Fund Fire Department Extraordinary Expenditures account.

The purpose of this grant is to support the Fire Department’s Hazardous
Response Team. Funds will be spent to upgrade Fire’s chemical identification
capabilities, modernize air sampling and detection capabilities, purchase
screening and decontamination equipment, and upgrade the hazardous materials
platform on the Police Department’s explosive ordinance talon robot.

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1582,3211," A proposed amendment to the Ordinance entitled ""Zoning Ordinance of the City of Cambridge"" as amended by the Planning Board recommendation to expand the requirements of the North Massachusetts Avenue Sub-district (Section 20.110) applicable generally within the portions of the Massachusetts Avenue Overlay District (MAOD) zoned Business A-2 (BA-2).",,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1847,4318, An amendment to the Municipal Code Ordinance that Title 8 entitled “Health and Safety” be amended in Chapter 8.28 entitled “Restriction on Youth Access to obacco Products and in Smoking in Workplaces and Public Places” by amending 8.28.050 entitled “ Definitions for Prohibition of Smoking in Workplaces” by adding a new definition.,,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Absent,Yea
1023,1917, Resolution on the death of Esther Maxwell.,"WHEREAS

|

The City Council was saddened to learn of the recent passing of Esther
Maxwell; now therefore be it  
  
---|---  
  
|  
  
RESOLVED

|

That a suitable resolution be prepared on the death of Esther Maxwell.  
  
|  
  
|

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1566,2671," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $42,000 from Free Cash to the General Fund Finance (Personnel) Other Ordinary Maintenance account to be used to procure consultant services to assist in the hiring of a new City Manager.","I am hereby requesting the appropriation of $42,000 from Free Cash to the
General Fund Finance (Personnel) Other Ordinary Maintenance account. This
appropriation will be used to procure consultant services to assist in the
hiring of a new City Manager.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1585,3031," Transmitting communication from Richard C. Rossi, City Manager, relative to the appropriation of a Department of Elementary and Secondary Education (DESE) grant in the amount of $64,428 to the Grant Fund Human Service s Salary and Wages account ($34,457), to the Grant Fund Human Services Other Ordinary Maintenance account ($29,935) and to the Grant Fund Human Services Travel and Training account ($36), to be used to provide an integrated education and training program for immigrant adults in the Metro North area who are interested in becoming certified nursing assistants or home health aides.","I am hereby requesting the appropriation of a Department of Elementary and
Secondary Education (DESE) grant in the amount of $64,428 to the Grant Fund
Human Service s Salary and Wages account ($34,457), to the Grant Fund Human
Services Other Ordinary Maintenance account ($29,935) and to the Grant Fund
Human Services Travel and Training account ($36).

The grant is for the second part of the Integrated English Literacy and Civics
Education Program, and will provide an integrated education and training
program for immigrant adults in the Metro North area who are interested in
becoming certified nursing assistants or home health aides. The Community
Learning Center (CLC) will work in partnership with the Academy for Health
Care Training, RSTA, and the Cambridge Employment Program.

",Yea,Yea,Yea,Absent,Yea,Absent,Yea,Yea,Yea
1594,3461," Transmitting Communication from Lisa C. Peterson, Acting City Manager, relative to the appropriation of the Emergency Food and Shelter National Board Program (EFSP) grant in the amount of $15,000 to the Grant Fund Human Services Other Ordinary Maintenance account which will be used to supplement fuel assistance payments.","I am hereby requesting the appropriation of the Emergency Food and Shelter
National Board Program (EFSP) grant in the amount of $15,000 to the Grant Fund
Human Services Other Ordinary Maintenance account.

EFSP funds are received through the National Board and administered by
Catholic Charities South of Brockton, which acts as the fiscal and
administrative agent for EFSP funds in the Boston Area. These funds are used
to supplement fuel assistance payments. The goal of EFSP is to help public and
private non-profit agencies increase and extend currently available emergency
resources for clients in need.

",Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea
1556,2092, Resolution on the death of Margaret Carney-Myers.,"WHEREAS:

|

This City Council is deeply saddened by the loss of Ms. Margaret Carney-Myers,
who, on, February 2, 2016, at the age of 58 years, passed away in Okmulgee,
Oklahoma; and  
  
---|---  
  
|  
  
WHEREAS:

|

Margaret was a longtime and beloved resident of Chalk Street in Cambridgeport;
and  
  
|  
  
WHEREAS:

|

Margaret was a devoted and loving mother to two children, Samuel and Sophie,
seeing them through Graham &amp; Parks and Samuel through Cambridge Rindge
&amp; Latin School; and  
  
|  
  
WHEREAS:

|

Margaret was a cherished friend of many in Cambridge, known for her
hospitality, wisdom, good cheer, volunteerism, annual holiday lights that
extended into her street tree; and  
  
|  
  
WHEREAS:

|

Margaret’s home and spirit embodied neighborliness and positive energy; her
front door and gate were always open to friends and neighbors and she could
often be found greeting others on her front stoop; now therefore be it  
  
|  
  
RESOLVED:

|

That the City Council go on record extending its deepest sympathy to the
family of Ms. Margaret Carney-Myers in their time of sadness; and be it
further  
  
|  
  
RESOLVED

|

That the City Clerk be and hereby is requested to forward a suitably engrossed
copy of this resolution to the Carney-Myers family on behalf of the entire
City Council.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1871,4936," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of various donations to the Council on Aging in the amount of $24,233.40 to the Grant Fund Human Service Programs Salary and Wages account ($9,000.00) and to the Other Ordinary Maintenance account ($15,233.40) which will be used to support a variety of services for Cambridge Seniors.","I am hereby requesting the appropriation of various donations to the Council
on Aging in the amount of $24,233.40 to the Grant Fund Human Service Programs
Salary and Wages account ($9,000.00) and to the Grant Fund Human Service
Programs Other Ordinary Maintenance account ($15,233.40).

These donations will be used to support a variety of services for Cambridge
Seniors, including food and entertainment for senior parties, the purchase of
fans for low-income seniors, provision of minor home adaptation equipment,
support for the food pantry, and transportation for special senior center
events and trips.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1642,4096," A communication transmitted from Louis A. DePasquale, City Manager, relative to an order requesting the appropriation and authorization to borrow $2,300,000 to provide funds for the design, drainage, and installation of new field surfaces at Russell Field and the Graham and Parks School.","Please find attached an order requesting the appropriation and authorization
to borrow $2,300,000 to provide funds for the design, drainage, and
installation of new field surfaces at Russell Field and the Graham and Parks
School. This project is included in the City’s FY17 bond issue. This order is
being submitted for the February 6, 2017 City Council meeting to allow the
City Council to vote on this order on February 27, 2017.

If passed to a second reading on February 6, 2017, the City will comply with
all legal requirements so that the order may be adopted on February 27, 2017.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1853,3428, Offer of employment as City Manager to Louis A. DePasquale,"ORDERED:

|

That the City Council make an offer of employment as City Manager to Louis A.
DePasquale, conditioned upon the successful negotiations of a contract with
terms agreeable to both parties  
  
---|---

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1871,4933," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Massachusetts Housing and Shelter Alliance (MHSA) grant funded by the Department of Housing and Community Development (DHCD) in the amount of $934.14 to the Grant Fund Human Service Programs Salary and Wages account and will be used for costs related to the Carey Men’s Transitional Program operated by the Multi-Service Center.","I am hereby requesting the appropriation of the Massachusetts Housing and
Shelter Alliance (MHSA) grant funded by the Department of Housing and
Community Development (DHCD) in the amount of $934.14 to the Grant Fund Human
Service Programs Salary and Wages account.

These additional funds from MHSA will be used for costs related to the Carey
Men’s Transitional Program operated by the Multi-Service Center. This program
assists homeless men to end their homelessness through providing transitional
housing at the Cambridge YMCA and counseling and case management services.
This is a supplement to the original appropriation of $94,347.60, bringing the
contract total to $95,281.74.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1562,2485," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $940,000 from Free Cash to the Public Investment Fund Public Works Extraordinary Expenditures account to provide funds for the construction costs for the Morse School Playground.","I am hereby requesting the appropriation of $940,000 from Free Cash to the
Public Investment Fund Public Works Extraordinary Expenditures account to
provide funds for the construction costs for the Morse School Playground.

The above amount, when added to the $260,000 appropriated from Community
Preservation Funds in FY16, will bring the total project cost to $1.2 million.
The amount requested through Community Preservation Funds in FY16 was in
anticipation of additional funding to complete construction. This project was
considered as part of the Community Preservation Act process, but it was
determined at that time by the City that a separate appropriation from Free
Cash was the best way to finance this additional appropriation.

This open space renovation project will involve a comprehensive redesign of
the playground and outdoor spaces including the court and swings. The
renovation will also include surfacing and accessibility improvements.

The design process is underway and will continue through spring and summer
2016. Construction is anticipated to start following the 2016/2017 school
year.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1557,2144," Transmitting Communication from Richard C. Rossi, City Manager, relative to the transfer of $20,000 from the General Fund Electrical Other Ordinary Maintenance account to the General Fund Electrical Extraordinary Expenditures account which will allow the Electrical Department to continue to expand the fiber optic network for public safety radios.   The project is supported by savings from the Electric Streetlight budget.","I am hereby requesting the transfer of $20,000 from the General Fund
Electrical Other Ordinary Maintenance account to the General Fund Electrical
Extraordinary Expenditures account which will allow the Electrical Department
to continue to expand the fiber optic network for public safety radios. The
transfer is supported by savings from the Electric Streetlight budget.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1868,4813," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the Massachusetts Department of Environmental Protection (MASS DEP) in the amount of $62,000 to the Grant Fund Public Works Other Ordinary Maintenance account which provides funding to municipalities that have implemented specific programs and policies proven to maximize reuse, recycling, and waste reduction.","I am hereby requesting the appropriation of a grant from the Massachusetts
Department of Environmental Protection (MASS DEP) in the amount of $62,000 to
the Grant Fund Public Works Other Ordinary Maintenance account.  
  
MASS DEP’s Recycling Dividends Program provides funding to municipalities that
have implemented specific programs and policies proven to maximize reuse,
recycling, and waste reduction. Funds will be used to cover costs associated
with curbside organics collection and processing.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1872,5045," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $1,188.40 from the Grant Fund Emergency Communications Travel and Training account to the Grant Fund Emergency Communications Salary and Wages account","I am hereby requesting the transfer of $1,188.40 from the Grant Fund Emergency
Communications Travel and Training account to the Grant Fund Emergency
Communications Salary and Wages account.

These funds are in the FY17 State 911 Department Training Grant and
EMD/Regulatory Compliance Grant from the Executive Office of Public Safety and
Security State 911 Department and will cover personnel related costs
associated with training prior to the end of FY17. Monies were originally
designated for Travel and Training purposes but will not be used by the end of
the fiscal year. This transfer is in compliance with grant regulations.

",Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Absent
1569,2940," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $750,000 from Free Cash to the Public Investment Fund Public Works Extraordinary Expenditures account to pay for design services for the building located at 859 Massachusetts Avenue and a feasibility study for municipal facilities.","I am hereby requesting the appropriation of $750,000 from Free Cash to the
Public Investment Fund Public Works Extraordinary Expenditures account. Funds
will pay for design services for the building located at 859 Massachusetts
Avenue and a feasibility study for municipal facilities.

The renovation project at 859 Massachusetts Avenue is estimated to cost
approximately $5 million.

I will keep you advised on the project and budget as we move forward.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1559,2273," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of a grant from the Massachusetts Executive Office of Public Safety and Security's Traffic Enforcement Grant Program in the amount of $21,000 to the Grant Fund Police Department Salary and Wages account which will fund high-visibility traffic enforcement of motor vehicle laws, including but not limited to speeding and aggressive driving, impaired driving, distracted driving, and occupant protection.","I am hereby requesting the appropriation of a grant from the Massachusetts
Executive Office of Public Safety and Security's Traffic Enforcement Grant
Program in the amount of $21,000 to the Grant Fund Police Department Salary
and Wages account.  
  
This grant will fund high-visibility traffic enforcement of motor vehicle
laws, including but not limited to speeding and aggressive driving, impaired
driving, distracted driving, and occupant protection.

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1585,3035," Transmitting communication from Richard C. Rossi, City Manager, relative to the appropriation of the Friends of the Community Learning Center (CLC) grant funded by Friends of the Community Learning Center through individual donations and from a family foundation in the amount of $28,500 to the Grant Fund Human Services Salary and Wages account ($25,931), and to the Grant Fund Human Services Other Ordinary Maintenance account ($2,569), to be used to support English for Speakers of Other Languages classes at the Community Learning Center.","I am hereby requesting the appropriation of the Friends of the Community
Learning Center (CLC) grant funded by Friends of the Community Learning Center
through individual donations and from a family foundation in the amount of
$28,500 to the Grant Fund Human Services Salary and Wages account ($25,931),
and to the Grant Fund Human Services Other Ordinary Maintenance account
($2,569).

The purpose of this donation is to support English for Speakers of Other
Languages classes at the Community Learning Center. This grant will support
salaries and supplies.

",Yea,Yea,Yea,Absent,Yea,Absent,Yea,Yea,Yea
1556,2097, Resolution on the death of Catherine M. (Shine) Killion.,"WHEREAS:

|

This City Council was deeply saddened at learning of the death of Catherine M.
(Shine) Killion on March 6, 2016 at the age of 91; and  
  
---|---  
  
|  
  
WHEREAS:

|

Catherine was a life-long resident of Cambridge, whom after raising her six
children, was employed by the Environmental Protection Agency (EPA), Office of
Criminal Investigations and City of Cambridge Latin High School; and  
  
|  
  
WHEREAS:

|

Catherine was a life-long parishioner of Saint Peter’s Church and where she
was active in the life of the church; and  
  
|  
  
WHEREAS:

|

Among Catherine’s favorite pastimes were reading, playing the piano and
traveling throughout the United States, Ireland and Florida, where she liked
to spend her winters; and  
  
|  
  
WHEREAS:

|

To Catherine, family was the most important thing of all; she cherished her
family and loved to share her life’s experiences with her grandchildren, great
grandchildren, nieces and nephews; and  
  
|  
  
WHEREAS:

|

Catherine was the beloved wife of the late John J. Killion; and  
  
|  
  
WHEREAS:

|

Catherine was the mother of the late Peter, David and Stephen Killion; and  
  
|  
  
WHEREAS:

|

Catherine’s passing will leave a void in the lives of all her surviving
family, her children Paul J. and his wife Patricia, John J. Jr. and his wife
Donna and Anne Marie Casey and her husband Jack; her daughters-in-law Joanne
Killion and Cindy Killion; her eighteen grandchildren, her numerous nieces and
nephews, and her great-grandchildren; and  
  
|  
  
WHEREAS:

|

Catherine will be sorely missed by all she touched and loved; now therefore be
it  
  
|  
  
RESOLVED:

|

That this City Council go on record extending its deepest sympathy for the
family of Catherine M. (Shine) Killion at this time of such personal loss; and
be it further  
  
|  
  
RESOLVED

|

That the City Clerk be and hereby is requested to forward a suitably engrossed
copy of this resolution to the Killion family on behalf of the entire City
Council.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1565,2629," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of a Friends of the Community Learning Center (CLC) grant funded by the Cambridge Community Foundation in the amount of $15,000 to the Grant Fund Human Services Salary and Wages account ($13,918), to the Grant Fund Human Services Other Ordinary Maintenance account ($982), and to the Grant Fund Human Services Travel and Training account ($100) which will be used  the CLC funds for the Life Transitions Program, which partners with the Citywide Senior Center and connects low-income Cambridge immigrants to services including ESOL classes, Bridge to College Program, and career counseling.","I am hereby requesting the appropriation of a Friends of the Community
Learning Center (CLC) grant funded by the Cambridge Community Foundation in
the amount of $15,000 to the Grant Fund Human Services Salary and Wages
account ($13,918), to the Grant Fund Human Services Other Ordinary Maintenance
account ($982), and to the Grant Fund Human Services Travel and Training
account ($100).

The Cambridge Community Foundation AJ Francisco Fund has granted the CLC funds
for the Life Transitions Program, which partners with the Citywide Senior
Center and connects low-income Cambridge immigrants to services including ESOL
classes, Bridge to College Program, and career counseling.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1871,4849," A communication transmitted from Louis A. DePasquale, City Manager,  recommending that the City Council accept  amendments to Municipal Code Chapter 15.04 relating to the Building Permit Fee schedule for services provided by the Inspectional Services Department.","I am hereby recommending that the City Council accept the attached amendments
to Municipal Code Chapter 15.04 relating to the Building Permit Fee schedule
for services provided by the Inspectional Services Department (“ISD”).  
  
The amended Building Permit Fees that have been proposed are comparable to
fees charged by surrounding communities. Also, the Building Permit Fees have
not been changed since June, 2009. The increased Building Permit Fees are
necessary due to amendments to the State Building Code that require additional
review and inspections by ISD, among other increased demands on ISD’s staff.
The State Building Code amendments include, but are not limited to, additional
inspections of sheet metal installation and additional review of plans for so-
called Green Buildings for compliance with the Energy Code. Building Permits
for the construction of three residential dwelling units or less are exempt
from the fee increase to $20.00 per thousand, as set forth in the proposed
Building Permit Fee schedule.

The Building Permit Fees are set by the Municipal Code, and therefore they may
only be changed by a vote of the City Council.  
  
Proposed fee increases are summarized in the attached table.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1871,4940," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a Department of Elementary and Secondary Education (DESE) grant in the amount of $29,000.00 to the Grant Fund Human Service Programs Salary and Wages account ($11,764.00) and to the Other Ordinary Maintenance account ($17,236.00) and will be used for the Integrated English Literacy and Civics Education Program, and will provide an integrated education and training program for immigrant adults in the Metro North area who are interested in becoming home health aides.","I am hereby requesting the appropriation of a Department of Elementary and
Secondary Education (DESE) grant in the amount of $29,000.00 to the Grant Fund
Human Service Programs Salary and Wages account ($11,764.00) and to the Grant
Fund Human Service Programs Other Ordinary Maintenance account ($17,236.00).

The grant is for the Integrated English Literacy and Civics Education Program,
and will provide an integrated education and training program for immigrant
adults in the Metro North area who are interested in becoming home health
aides. The Community Learning Center (CLC) will work in partnership with the
Academy for Health Care Training, RSTA, and the Cambridge Employment Program.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1596,3492, That the City Manager is requested to direct the City Solicitor and the appropriate staff to draft an ordinance to require that gas pumps be labeled with a “purely factual and uncontroversial” environmental warning about fossil fuels’ effect on climate change.,"ORDERED:

|

That the City Manager be and hereby is requested to direct the City Solicitor
and the appropriate staff to draft an ordinance to require that gas pumps be
labeled with a “purely factual and uncontroversial” environmental warning
about fossil fuels’ effect on climate change.  
  
---|---

",Yea,Yea,Yea,Nay,Nay,Nay,Absent,Yea,Nay
1582,3231," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of the Agenda for Children’s Talk and Read grant in the amount of $3,189 received from the Cambridge Public Health Department to the Grant Fund Human Services Salary and Wages account ($1,149) and to the Other Ordinary Maintenance account ($2,040), to be used to staff salary costs and workshop supplies for outreach worker parenting workshops.","I am hereby requesting the appropriation of the Agenda for Children’s Talk and
Read grant in the amount of $3,189 received from the Cambridge Public Health
Department to the Grant Fund Human Services Salary and Wages account ($1,149)
and to the Grant Fund Human Services Other Ordinary Maintenance account
($2,040).

The contract is for the Agenda for Children’s Talk and Read program. The
responsibility of the Community Learning Center is to recruit CLC students to
participate in training and assist with logistics. The grant funds staff
salary costs and workshop supplies for outreach worker parenting workshops.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent
1023,1897," A communication was received from Ann Fleck-Henderson, Richdale Avenue, regarding Indigenous Peoples Day.",,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1844,4629," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Shannon Grant received from the Metropolitan Mayors Community Safety Initiative through the Executive Office of Public Safety for $11,959.20 to the Grant Fund Human Services Salary and Wages account ($11,520) and to the  Other Ordinary Maintenance account ($439.20) and will be used to support the design and implementation of the City Peace program, a violence peer leadership internship for teens through the Youth Centers.","I am hereby requesting the appropriation of the Shannon Grant received from
the Metropolitan Mayors Community Safety Initiative through the Executive
Office of Public Safety for $11,959.20 to the Grant Fund Human Services Salary
and Wages account ($11,520) and to the Grant Fund Human Services Other
Ordinary Maintenance account ($439.20).

These funds will be used to support the design and implementation of the City
Peace program, a violence peer leadership internship for teens through the
Youth Centers.

This cycle of the program includes a collaboration with the Cambridge Dispute
Settlement Center where teens will be trained as conflict negotiators and will
then teach these skills in 6 after school programs around the City to middle
grade students. Additionally, teens will be creating a ""photo-voice"" project
where they will use documentary photography to capture images of violence and
peace.

",Yea,Yea,Yea,Absent,Yea,Yea,Absent,Yea,Yea
1023,1914," That the City Manager is requested to confer with appropriate City departments and to report back to the City Council on the current total number and locations of sandwich board and A-frame signs, details on the process and criteria for approval and annual renewal, details on the enforcement of non-compliant and unpermitted signs, whether the annual $75 fee remains appropriate, whether reasonable design guidelines could be encouraged or required in historic districts, and whether the application process could be improved to include more detail to better inform decision makers.","WHEREAS:

|

Cambridge continually strives to improve its pedestrian infrastructure to
encourage people to walk more and drive less, which benefits peoples’ health
and the environment; and  
  
---|---  
  
|  
  
WHEREAS:

|

Sandwich boards and A-frame signs, while representing helpful tools for
businesses seeking to attract new customers, can create obstacles on sidewalks
that can make it difficult for pedestrians to maneuver, especially those who
are visually impaired or disabled; and  
  
|  
  
WHEREAS:

|

A proliferation of sandwich boards and A-frame signs can contribute to visual
clutter, which may actually defeat their intended purpose as advertising
tools; and  
  
|  
  
WHEREAS:

|

Sandwich boards and A-frame signs can also appear to undermine the stricter
regulations that apply to commercial signage on buildings, especially in
historic districts such as Harvard Square; and  
  
|  
  
WHEREAS:

|

An increasing number of applications for sandwich boards and A-frame signs are
coming before the Council for approval; and  
  
|  
  
WHEREAS:

|

The City Council is regularly presented with applications for sandwich boards
and A-frame signs that offer too little detail about the intended placement of
the sign or the number of other sandwich board and A-frame signs in close
proximity, making it difficult for the City Council to properly evaluate
whether the sign is appropriate; now therefore be it  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
|  
  
ORDERED:

|

That the City Manager be and hereby is requested to confer with appropriate
City departments and to report back to the City Council on the current total
number and locations of sandwich board and A-frame signs, details on the
process and criteria for approval and annual renewal, details on the
enforcement of non-compliant and unpermitted signs, whether the annual $75 fee
remains appropriate, whether reasonable design guidelines could be encouraged
or required in historic districts, and whether the application process could
be improved to include more detail to better inform decision makers.

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
