ReceiptTotalDisplay,Reimbursee,FilingDate,ReceiptTotal,ReportTypeId,EndingDateDisplay,EndingBalanceDisplay,ReportCandidateFirstName,ReceiptItemizedTotalDisplay,BeginningBalanceDisplay,ReportTypeDescription,ExpenditureItemizedTotalDisplay,Category,ReceiptUnitemizedTotalDisplay,InkindTotalDisplay,ReportYear,ExpenditureTotalDisplay,ReportingPeriod,SavingsTotalDisplay,IsAmendment,Ui,PaymentsDisplay,LiabilityTotalDisplay,BeginningDateDisplay,AmendmentReason,FilingDateShortDisplay,ExpenditureUnitemizedTotalDisplay,FullNameReverse,CpfId,FilingId,IsAmended,Id,ReportId,FilingMechanism,FilingDateDisplay
$0.00,,2010-12-02T15:15:10.853,0.0,72,11/30/2010,"$3,459.53",Leland,$0.00,"$3,459.53",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2010,$0.00,11/16/10 - 11/30/10,$0.00,False,,$0.00,$0.00,11/16/2010,,12/2/2010,$0.00,"Cheung, Leland",14923,60001,False,126921,126921,Web Reporter 2.0,12/2/2010
"$1,300.00",,2010-11-17T16:20:36.04,1300.0,71,11/15/2010,"$3,459.53",Leland,"$1,300.00","$2,479.38",Bank Report (Days 1-15),$319.85,D,$0.00,$0.00,2010,$319.85,11/1/10 - 11/15/10,$0.00,False,,$0.00,$0.00,11/1/2010,,11/17/2010,$0.00,"Cheung, Leland",14923,60001,False,126251,126251,Web Reporter 2.0,11/17/2010
$0.00,,2010-11-01T13:13:31.01,0.0,72,10/31/2010,"$2,479.38",Leland,$0.00,"$2,479.38",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2010,$0.00,10/16/10 - 10/31/10,$0.00,False,,$0.00,$0.00,10/16/2010,,11/1/2010,$0.00,"Cheung, Leland",14923,60001,False,125249,125249,Web Reporter 2.0,11/1/2010
$0.00,,2010-10-19T15:29:58.063,0.0,71,10/15/2010,"$2,479.38",Leland,$0.00,"$2,500.54",Bank Report (Days 1-15),$21.16,D,$0.00,$0.00,2010,$21.16,10/1/10 - 10/15/10,$0.00,False,,$0.00,$0.00,10/1/2010,,10/19/2010,$0.00,"Cheung, Leland",14923,60001,False,123161,123161,Web Reporter 2.0,10/19/2010
$0.00,,2010-10-05T13:06:44.687,0.0,72,9/30/2010,"$2,500.54",Leland,$0.00,"$2,800.54",Bank Report (Days 16-End),$300.00,D,$0.00,$0.00,2010,$300.00,9/16/10 - 9/30/10,$0.00,False,,$0.00,$0.00,9/16/2010,,10/5/2010,$0.00,"Cheung, Leland",14923,60001,False,121996,121996,Web Reporter 2.0,10/5/2010
$200.00,,2010-09-17T12:43:00.747,200.0,71,9/15/2010,"$2,800.54",Leland,$200.00,"$2,621.57",Bank Report (Days 1-15),$21.03,D,$0.00,$0.00,2010,$21.03,9/1/10 - 9/15/10,$0.00,False,,$0.00,$0.00,9/1/2010,,9/17/2010,$0.00,"Cheung, Leland",14923,60001,False,120589,120589,Web Reporter 2.0,9/17/2010
$0.00,,2010-09-03T11:18:55.85,0.0,72,8/31/2010,"$2,621.57",Leland,$0.00,"$2,671.50",Bank Report (Days 16-End),$49.93,D,$0.00,$0.00,2010,$49.93,8/16/10 - 8/31/10,$0.00,False,,$0.00,$0.00,8/16/2010,,9/3/2010,$0.00,"Cheung, Leland",14923,60001,False,119138,119138,Web Reporter 2.0,9/3/2010
$0.00,,2010-08-17T15:39:06.84,0.0,71,8/15/2010,"$2,671.50",Leland,$0.00,"$2,683.50",Bank Report (Days 1-15),$12.00,D,$0.00,$0.00,2010,$12.00,8/1/10 - 8/15/10,$0.00,False,,$0.00,$0.00,8/1/2010,,8/17/2010,$0.00,"Cheung, Leland",14923,60001,False,117705,117705,Web Reporter 2.0,8/17/2010
$0.00,,2010-08-03T14:09:27.867,0.0,72,7/31/2010,"$2,683.50",Leland,$0.00,"$2,783.50",Bank Report (Days 16-End),$100.00,D,$0.00,$0.00,2010,$100.00,7/16/10 - 7/31/10,$0.00,False,,$0.00,$0.00,7/16/2010,,8/3/2010,$0.00,"Cheung, Leland",14923,60001,False,116779,116779,Web Reporter 2.0,8/3/2010
$0.00,,2010-07-19T14:46:50.573,0.0,71,7/15/2010,"$2,783.50",Leland,$0.00,"$2,803.34",Bank Report (Days 1-15),$19.84,D,$0.00,$0.00,2010,$19.84,7/1/10 - 7/15/10,$0.00,False,,$0.00,$0.00,7/1/2010,,7/19/2010,$0.00,"Cheung, Leland",14923,60001,False,115919,115919,Web Reporter 2.0,7/19/2010
$0.00,,2010-07-01T08:51:50.633,0.0,72,6/30/2010,"$2,803.34",Leland,$0.00,"$2,803.34",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2010,$0.00,6/16/10 - 6/30/10,$0.00,False,,$0.00,$0.00,6/16/2010,,7/1/2010,$0.00,"Cheung, Leland",14923,60001,False,114809,114809,Web Reporter 2.0,7/1/2010
$0.00,,2010-06-17T12:21:13.19,0.0,71,6/15/2010,"$2,803.34",Leland,$0.00,"$2,823.16",Bank Report (Days 1-15),$19.82,D,$0.00,$0.00,2010,$19.82,6/1/10 - 6/15/10,$0.00,False,,$0.00,$0.00,6/1/2010,,6/17/2010,$0.00,"Cheung, Leland",14923,60001,False,113891,113891,Web Reporter 2.0,6/17/2010
$0.00,,2010-06-03T08:19:25.863,0.0,72,5/31/2010,"$2,823.16",Leland,$0.00,"$2,843.00",Bank Report (Days 16-End),$19.84,D,$0.00,$0.00,2010,$19.84,5/16/10 - 5/31/10,$0.00,False,,$0.00,$0.00,5/16/2010,,6/3/2010,$0.00,"Cheung, Leland",14923,60001,False,113188,113188,Web Reporter 2.0,6/3/2010
$0.00,,2010-05-19T15:16:38.61,0.0,71,5/15/2010,"$2,843.00",Leland,$0.00,"$2,843.00",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2010,$0.00,5/1/10 - 5/15/10,$0.00,False,,$0.00,$0.00,5/1/2010,,5/19/2010,$0.00,"Cheung, Leland",14923,60001,False,112384,112384,Web Reporter 2.0,5/19/2010
$0.00,,2010-05-05T11:34:50.923,0.0,72,4/30/2010,"$2,843.00",Leland,$0.00,"$2,843.00",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2010,$0.00,4/16/10 - 4/30/10,$0.00,False,,$0.00,$0.00,4/16/2010,,5/5/2010,$0.00,"Cheung, Leland",14923,60001,False,111761,111761,Web Reporter 2.0,5/5/2010
$0.00,,2010-04-19T15:09:43.313,0.0,71,4/15/2010,"$2,843.00",Leland,$0.00,"$2,863.14",Bank Report (Days 1-15),$20.14,D,$0.00,$0.00,2010,$20.14,4/1/10 - 4/15/10,$0.00,False,,$0.00,$0.00,4/1/2010,,4/19/2010,$0.00,"Cheung, Leland",14923,60001,False,110862,110862,Web Reporter 2.0,4/19/2010
$0.00,,2010-04-05T16:11:16.233,0.0,72,3/31/2010,"$2,863.14",Leland,$0.00,"$2,863.14",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2010,$0.00,3/16/10 - 3/31/10,$0.00,False,,$0.00,$0.00,3/16/2010,,4/5/2010,$0.00,"Cheung, Leland",14923,60001,False,110272,110272,Web Reporter 2.0,4/5/2010
$0.00,,2010-03-16T12:47:21.633,0.0,71,3/15/2010,"$2,863.14",Leland,$0.00,"$2,955.43",Bank Report (Days 1-15),$92.29,D,$0.00,$0.00,2010,$92.29,3/1/10 - 3/15/10,$0.00,False,,$0.00,$0.00,3/1/2010,,3/16/2010,$0.00,"Cheung, Leland",14923,60001,False,109201,109201,Web Reporter 2.0,3/16/2010
$100.00,,2010-03-02T12:58:17.667,100.0,72,2/28/2010,"$2,955.43",Leland,$100.00,"$2,879.70",Bank Report (Days 16-End),$24.27,D,$0.00,$0.00,2010,$24.27,2/16/10 - 2/28/10,$0.00,False,,$0.00,$0.00,2/16/2010,,3/2/2010,$0.00,"Cheung, Leland",14923,60001,False,108523,108523,Web Reporter 2.0,3/2/2010
$0.00,,2010-02-17T15:30:07.117,0.0,71,2/15/2010,"$2,879.70",Leland,$0.00,"$2,879.70",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2010,$0.00,2/1/10 - 2/15/10,$0.00,False,,$0.00,$0.00,2/1/2010,,2/17/2010,$0.00,"Cheung, Leland",14923,60001,False,107937,107937,Web Reporter 2.0,2/17/2010
$250.00,,2010-02-02T15:19:20.557,250.0,72,1/31/2010,"$2,879.70",Leland,$250.00,"$2,629.70",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2010,$0.00,1/16/10 - 1/31/10,$0.00,False,,$0.00,$0.00,1/16/2010,,2/2/2010,$0.00,"Cheung, Leland",14923,60001,False,107315,107315,Web Reporter 2.0,2/2/2010
"$1,390.65",,2010-01-20T15:38:13.39,1390.65,71,1/15/2010,"$2,629.70",Leland,"$1,390.65","$1,261.39",Bank Report (Days 1-15),$22.34,D,$0.00,$0.00,2010,$22.34,1/1/10 - 1/15/10,$0.00,False,,$0.00,$0.00,1/1/2010,,1/20/2010,$0.00,"Cheung, Leland",14923,60001,False,106578,106578,Web Reporter 2.0,1/20/2010
$600.00,,2010-01-05T15:24:46.96,600.0,72,12/31/2009,"$1,261.39",Leland,$600.00,$677.23,Bank Report (Days 16-End),$15.84,D,$0.00,$0.00,2009,$15.84,12/16/09 - 12/31/09,$0.00,False,,$0.00,$0.00,12/16/2009,,1/5/2010,$0.00,"Cheung, Leland",14923,60001,False,105005,105005,Web Reporter 2.0,1/5/2010
$0.00,,2009-12-17T09:56:57.567,0.0,71,12/15/2009,$677.23,Leland,$0.00,"$1,154.27",Bank Report (Days 1-15),$477.04,D,$0.00,$0.00,2009,$477.04,12/1/09 - 12/15/09,$0.00,False,,$0.00,$0.00,12/1/2009,,12/17/2009,$0.00,"Cheung, Leland",14923,60001,False,104019,104019,Web Reporter 2.0,12/17/2009
$0.00,,2009-12-03T17:40:22.793,0.0,72,11/30/2009,"$1,154.27",Leland,$0.00,"$6,346.46",Bank Report (Days 16-End),"$5,192.19",D,$0.00,$0.00,2009,"$5,192.19",11/16/09 - 11/30/09,$0.00,False,,$0.00,$0.00,11/16/2009,,12/3/2009,$0.00,"Cheung, Leland",14923,60001,False,103441,103441,Web Reporter 2.0,12/3/2009
$289.43,,2009-11-19T16:28:26.58,289.43,71,11/15/2009,"$6,346.46",Leland,$289.43,"$7,250.27",Bank Report (Days 1-15),"$1,193.24",D,$0.00,$0.00,2009,"$1,193.24",11/1/09 - 11/15/09,$0.00,False,,$0.00,$0.00,11/1/2009,,11/19/2009,$0.00,"Cheung, Leland",14923,60001,False,102863,102863,Web Reporter 2.0,11/19/2009
"$1,317.89",,2009-11-04T16:26:35.833,1317.89,72,10/31/2009,"$7,250.27",Leland,"$1,317.89","$9,455.37",Bank Report (Days 16-End),"$3,522.99",D,$0.00,$0.00,2009,"$3,522.99",10/16/09 - 10/31/09,$0.00,False,,$0.00,$0.00,10/16/2009,,11/4/2009,$0.00,"Cheung, Leland",14923,60001,False,102100,102100,Web Reporter 2.0,11/4/2009
$627.91,,2009-10-20T17:59:19.13,627.91,71,10/15/2009,"$9,455.37",Leland,$627.91,"$9,211.96",Bank Report (Days 1-15),$384.50,D,$0.00,$0.00,2009,$384.50,10/1/09 - 10/15/09,$0.00,False,,$0.00,$0.00,10/1/2009,,10/20/2009,$0.00,"Cheung, Leland",14923,60001,False,101297,101297,Web Reporter 2.0,10/20/2009
$96.50,,2009-10-02T15:09:58.927,96.5,72,9/30/2009,"$9,211.96",Leland,$96.50,"$9,115.46",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2009,$0.00,9/16/09 - 9/30/09,$0.00,False,,$0.00,$0.00,9/16/2009,,10/2/2009,$0.00,"Cheung, Leland",14923,60001,False,100505,100505,Web Reporter 2.0,10/2/2009
$857.40,,2009-09-18T13:20:14.287,857.4,71,9/15/2009,"$9,115.46",Leland,$857.40,"$8,517.19",Bank Report (Days 1-15),$259.13,D,$0.00,$0.00,2009,$259.13,9/1/09 - 9/15/09,$0.00,False,,$0.00,$0.00,9/1/2009,,9/18/2009,$0.00,"Cheung, Leland",14923,60001,False,99849,99849,Web Reporter 2.0,9/18/2009
$0.00,,2009-09-03T15:15:03.65,0.0,72,8/31/2009,"$8,517.19",Leland,$0.00,"$8,539.50",Bank Report (Days 16-End),$22.31,D,$0.00,$0.00,2009,$22.31,8/16/09 - 8/31/09,$0.00,False,,$0.00,$0.00,8/16/2009,,9/3/2009,$0.00,"Cheung, Leland",14923,60001,False,99138,99138,Web Reporter 2.0,9/3/2009
$0.00,,2009-08-18T15:18:58.257,0.0,71,8/15/2009,"$8,539.50",Leland,$0.00,"$8,796.69",Bank Report (Days 1-15),$257.19,D,$0.00,$0.00,2009,$257.19,8/1/09 - 8/15/09,$0.00,False,,$0.00,$0.00,8/1/2009,,8/18/2009,$0.00,"Cheung, Leland",14923,60001,False,98466,98466,Web Reporter 2.0,8/18/2009
$0.63,,2009-08-04T16:05:57.72,0.63,72,7/31/2009,"$8,796.69",Leland,$0.63,"$8,796.06",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2009,$0.00,7/16/09 - 7/31/09,$0.00,False,,$0.00,$0.00,7/16/2009,,8/4/2009,$0.00,"Cheung, Leland",14923,60001,False,97902,97902,Web Reporter 2.0,8/4/2009
"$3,505.62",,2009-07-17T10:16:11.2,3505.62,71,7/15/2009,"$8,796.06",Leland,"$3,505.62","$5,309.92",Bank Report (Days 1-15),$19.48,D,$0.00,$0.00,2009,$19.48,7/1/09 - 7/15/09,$0.00,False,,$0.00,$0.00,7/1/2009,,7/17/2009,$0.00,"Cheung, Leland",14923,60001,False,97099,97099,Web Reporter 2.0,7/17/2009
$0.00,,2009-07-01T15:40:52.733,0.0,72,6/30/2009,"$5,309.92",Leland,$0.00,"$5,309.92",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2009,$0.00,6/16/09 - 6/30/09,$0.00,False,,$0.00,$0.00,6/16/2009,,7/1/2009,$0.00,"Cheung, Leland",14923,60001,False,96368,96368,Web Reporter 2.0,7/1/2009
$0.00,,2009-06-17T15:16:55.547,0.0,71,6/15/2009,"$5,309.92",Leland,$0.00,"$5,332.82",Bank Report (Days 1-15),$22.90,D,$0.00,$0.00,2009,$22.90,6/1/09 - 6/15/09,$0.00,False,,$0.00,$0.00,6/1/2009,,6/17/2009,$0.00,"Cheung, Leland",14923,60001,False,95823,95823,Web Reporter 2.0,6/17/2009
"$5,411.47",,2009-06-04T16:43:55.937,5411.47,70,5/31/2009,"$5,332.82",Leland,"$5,411.47",$0.00,Bank Report (Entire Month),$78.65,D,$0.00,$0.00,2009,$78.65,5/4/09 - 5/31/09,$0.00,False,,$0.00,$0.00,5/4/2009,,6/4/2009,$0.00,"Cheung, Leland",14923,60001,False,95527,95527,Web Reporter 2.0,6/4/2009
$0.00,,2007-02-05T14:44:36,0.0,72,1/31/2007,$0.00,Bill,$0.00,$0.00,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2007,$0.00,1/16/07 - 1/31/07,$0.00,False,,$0.00,$0.00,1/16/2007,,2/5/2007,$0.00,"Hees, Bill",14421,60002,False,62498,62498,Bank Reporter 1.0,2/5/2007
$0.00,,2007-01-04T15:22:06,0.0,72,12/31/2006,$0.00,Bill,$0.00,$0.00,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$0.00,12/16/06 - 12/31/06,$0.00,False,,$0.00,$0.00,12/16/2006,,1/4/2007,$0.00,"Hees, Bill",14421,60002,False,59969,59969,Bank Reporter 1.0,1/4/2007
$0.00,,2007-01-04T15:18:09,0.0,71,11/15/2006,$0.00,Bill,$0.00,$0.00,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,11/1/06 - 11/15/06,$0.00,True,,$0.00,$0.00,11/1/2006,"Candidate carries a zero balance, therefore a statement is not received for this candidate.",1/4/2007,$0.00,"Hees, Bill",14421,60002,False,59942,59942,Bank Reporter 1.0,1/4/2007
$39.69,,2006-11-06T14:46:55,39.69,72,10/31/2006,$0.00,Bill,$0.00,($29.69),Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$10.00,10/16/06 - 10/31/06,$0.00,False,,$0.00,$0.00,10/16/2006,,11/6/2006,$0.00,"Hees, Bill",14421,60002,False,57246,57246,Bank Reporter 1.0,11/6/2006
$0.00,,2006-10-20T11:17:25,0.0,71,10/15/2006,($29.69),Bill,$0.00,($9.69),Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$20.00,10/1/06 - 10/15/06,$0.00,False,,$0.00,$0.00,10/1/2006,,10/20/2006,$0.00,"Hees, Bill",14421,60002,False,55349,55349,Bank Reporter 1.0,10/20/2006
$0.00,,2006-10-06T09:38:14,0.0,72,9/30/2006,($9.69),Bill,$0.00,$2.31,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$12.00,9/16/06 - 9/30/06,$0.00,False,,$0.00,$0.00,9/16/2006,,10/6/2006,$0.00,"Hees, Bill",14421,60002,False,54535,54535,Bank Reporter 1.0,10/6/2006
$0.00,,2006-09-21T08:52:39,0.0,71,9/15/2006,$2.31,Bill,$0.00,$14.31,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$12.00,9/1/06 - 9/15/06,$0.00,False,,$0.00,$0.00,9/1/2006,,9/21/2006,$0.00,"Hees, Bill",14421,60002,False,53552,53552,Bank Reporter 1.0,9/21/2006
$0.00,,2006-09-06T10:33:12,0.0,72,8/31/2006,$14.31,Bill,$0.00,$26.31,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$12.00,8/16/06 - 8/31/06,$0.00,False,,$0.00,$0.00,8/16/2006,,9/6/2006,$0.00,"Hees, Bill",14421,60002,False,51941,51941,Bank Reporter 1.0,9/6/2006
$0.00,,2006-08-22T10:54:28,0.0,71,8/15/2006,$26.31,Bill,$0.00,$38.31,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$12.00,8/1/06 - 8/15/06,$0.00,False,,$0.00,$0.00,8/1/2006,,8/22/2006,$0.00,"Hees, Bill",14421,60002,False,50713,50713,Bank Reporter 1.0,8/22/2006
$0.00,,2006-08-07T12:18:46,0.0,72,7/31/2006,$38.31,Bill,$0.00,$50.31,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$12.00,7/16/06 - 7/31/06,$0.00,False,,$0.00,$0.00,7/16/2006,,8/7/2006,$0.00,"Hees, Bill",14421,60002,False,49835,49835,Bank Reporter 1.0,8/7/2006
$0.00,,2006-07-19T16:36:18,0.0,71,7/15/2006,$50.31,Bill,$0.00,$50.31,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,7/1/06 - 7/15/06,$0.00,False,,$0.00,$0.00,7/1/2006,,7/19/2006,$0.00,"Hees, Bill",14421,60002,False,48754,48754,Bank Reporter 1.0,7/19/2006
$0.00,,2006-07-05T14:23:36,0.0,72,6/30/2006,$50.31,Bill,$0.00,$50.31,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$0.00,6/16/06 - 6/30/06,$0.00,False,,$0.00,$0.00,6/16/2006,,7/5/2006,$0.00,"Hees, Bill",14421,60002,False,47859,47859,Bank Reporter 1.0,7/5/2006
$0.00,,2006-06-20T16:31:31,0.0,71,6/15/2006,$50.31,Bill,$0.00,$50.31,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,6/1/06 - 6/15/06,$0.00,False,,$0.00,$0.00,6/1/2006,,6/20/2006,$0.00,"Hees, Bill",14421,60002,False,47200,47200,Bank Reporter 1.0,6/20/2006
$0.00,,2006-06-06T12:21:26,0.0,72,5/31/2006,$50.31,Bill,$0.00,$50.31,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$0.00,5/16/06 - 5/31/06,$0.00,False,,$0.00,$0.00,5/16/2006,,6/6/2006,$0.00,"Hees, Bill",14421,60002,False,46579,46579,Bank Reporter 1.0,6/6/2006
$0.00,,2006-05-19T10:16:47,0.0,71,5/15/2006,$50.31,Bill,$0.00,$50.31,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,5/1/06 - 5/15/06,$0.00,False,,$0.00,$0.00,5/1/2006,,5/19/2006,$0.00,"Hees, Bill",14421,60002,False,45645,45645,Bank Reporter 1.0,5/19/2006
$0.00,,2006-05-08T09:02:40,0.0,72,4/30/2006,$50.31,Bill,$0.00,$50.31,Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$0.00,4/16/06 - 4/30/06,$0.00,False,,$0.00,$0.00,4/16/2006,,5/8/2006,$0.00,"Hees, Bill",14421,60002,False,45144,45144,Bank Reporter 1.0,5/8/2006
$0.00,,2006-04-19T15:26:24,0.0,71,4/15/2006,$50.31,Bill,$0.00,$50.31,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,4/1/06 - 4/15/06,$0.00,False,,$0.00,$0.00,4/1/2006,,4/19/2006,$0.00,"Hees, Bill",14421,60002,False,44140,44140,Bank Reporter 1.0,4/19/2006
$0.00,,2006-04-05T16:32:28,0.0,72,3/31/2006,$50.31,Bill,$0.00,"$1,350.31",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,"$1,300.00",3/16/06 - 3/31/06,$0.00,False,,$0.00,$0.00,3/16/2006,,4/5/2006,$0.00,"Hees, Bill",14421,60002,False,43636,43636,Bank Reporter 1.0,4/5/2006
$0.00,,2006-03-20T14:29:58,0.0,71,3/15/2006,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,3/1/06 - 3/15/06,$0.00,False,,$0.00,$0.00,3/1/2006,,3/20/2006,$0.00,"Hees, Bill",14421,60002,False,42915,42915,Bank Reporter 1.0,3/20/2006
$0.00,,2006-03-03T16:00:01,0.0,72,2/28/2006,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$0.00,2/16/06 - 2/28/06,$0.00,False,,$0.00,$0.00,2/16/2006,,3/3/2006,$0.00,"Hees, Bill",14421,60002,False,42058,42058,Bank Reporter 1.0,3/3/2006
$0.00,,2006-02-21T16:58:51,0.0,71,2/15/2006,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,2/1/06 - 2/15/06,$0.00,False,,$0.00,$0.00,2/1/2006,,2/21/2006,$0.00,"Hees, Bill",14421,60002,False,41659,41659,Bank Reporter 1.0,2/21/2006
$0.00,,2006-02-03T16:20:17,0.0,72,1/31/2006,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2006,$0.00,1/16/06 - 1/31/06,$0.00,False,,$0.00,$0.00,1/16/2006,,2/3/2006,$0.00,"Hees, Bill",14421,60002,False,40916,40916,Bank Reporter 1.0,2/3/2006
$0.00,,2006-01-19T15:20:51,0.0,71,1/15/2006,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2006,$0.00,1/1/06 - 1/15/06,$0.00,False,,$0.00,$0.00,1/1/2006,,1/19/2006,$0.00,"Hees, Bill",14421,60002,False,39344,39344,Bank Reporter 1.0,1/19/2006
$0.00,,2006-01-05T14:05:30,0.0,72,12/31/2005,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2005,$0.00,12/16/05 - 12/31/05,$0.00,False,,$0.00,$0.00,12/16/2005,,1/5/2006,$0.00,"Hees, Bill",14421,60002,False,38106,38106,Bank Reporter 1.0,1/5/2006
$0.00,,2005-12-20T18:13:35,0.0,71,12/15/2005,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2005,$0.00,12/1/05 - 12/15/05,$0.00,False,,$0.00,$0.00,12/1/2005,,12/20/2005,$0.00,"Hees, Bill",14421,60002,False,37385,37385,Bank Reporter 1.0,12/20/2005
$0.00,,2005-12-05T17:05:47,0.0,72,11/30/2005,"$1,350.31",Bill,$0.00,"$1,350.31",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2005,$0.00,11/16/05 - 11/30/05,$0.00,False,,$0.00,$0.00,11/16/2005,,12/5/2005,$0.00,"Hees, Bill",14421,60002,False,36745,36745,Bank Reporter 1.0,12/5/2005
"$2,530.00",,2005-11-18T16:55:04,2530.0,71,11/15/2005,"$1,350.31",Bill,$0.00,"$1,698.66",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2005,"$2,878.35",11/1/05 - 11/15/05,$0.00,False,,$0.00,$0.00,11/1/2005,,11/18/2005,$0.00,"Hees, Bill",14421,60002,False,36137,36137,Bank Reporter 1.0,11/18/2005
$230.00,,2005-11-04T13:52:47,230.0,72,10/31/2005,"$1,698.66",Bill,$0.00,"$4,399.63",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2005,"$2,930.97",10/16/05 - 10/31/05,$0.00,False,,$0.00,$0.00,10/16/2005,,11/4/2005,$0.00,"Hees, Bill",14421,60002,False,35389,35389,Bank Reporter 1.0,11/4/2005
"$1,575.00",,2005-10-20T16:44:22,1575.0,71,10/15/2005,"$4,399.63",Bill,$0.00,"$3,695.69",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2005,$871.06,10/1/05 - 10/15/05,$0.00,False,,$0.00,$0.00,10/1/2005,,10/20/2005,$0.00,"Hees, Bill",14421,60002,False,34700,34700,Bank Reporter 1.0,10/20/2005
"$3,650.00",,2005-10-05T16:36:59,3650.0,72,9/30/2005,"$3,695.69",Bill,$0.00,"$2,097.48",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2005,"$2,051.79",9/16/05 - 9/30/05,$0.00,False,,$0.00,$0.00,9/16/2005,,10/5/2005,$0.00,"Hees, Bill",14421,60002,False,34037,34037,Bank Reporter 1.0,10/5/2005
"$1,100.00",,2005-09-20T17:01:58,1100.0,71,9/15/2005,"$2,097.48",Bill,$0.00,"$1,644.91",Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2005,$647.43,9/1/05 - 9/15/05,$0.00,False,,$0.00,$0.00,9/1/2005,,9/20/2005,$0.00,"Hees, Bill",14421,60002,False,33123,33123,Bank Reporter 1.0,9/20/2005
$650.00,,2005-09-06T17:04:02,650.0,72,8/31/2005,"$1,644.91",Bill,$0.00,"$1,223.82",Bank Report (Days 16-End),$0.00,D,$0.00,$0.00,2005,$228.91,8/16/05 - 8/31/05,$0.00,False,,$0.00,$0.00,8/16/2005,,9/6/2005,$0.00,"Hees, Bill",14421,60002,False,32276,32276,Bank Reporter 1.0,9/6/2005
$875.00,,2005-08-19T14:49:55,875.0,71,8/15/2005,"$1,223.82",Bill,$0.00,$385.82,Bank Report (Days 1-15),$0.00,D,$0.00,$0.00,2005,$37.00,8/1/05 - 8/15/05,$0.00,False,,$0.00,$0.00,8/1/2005,,8/19/2005,$0.00,"Hees, Bill",14421,60002,False,31581,31581,Bank Reporter 1.0,8/19/2005
$500.00,,2005-08-11T14:09:48,500.0,70,7/31/2005,$385.82,Bill,$0.00,$0.00,Bank Report (Entire Month),$0.00,D,$0.00,$0.00,2005,$114.18,7/1/05 - 7/31/05,$0.00,False,,$0.00,$0.00,7/1/2005,,8/11/2005,$0.00,"Hees, Bill",14421,60002,False,31175,31175,Bank Reporter 1.0,8/11/2005
